연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),매출액,총포괄손익,영업비용
2021,Q3,0.17508753514536624,1.3469985787143122,0.020009796035413974,0.1614821463578593,0.05398925953872058,0.1311957715093588,-0.29524882449521617,1.8927028334123728,0.19572653001694107,0.5368594927572414,0.26264360693986877,0.26264360693986877,1.697135474911041,1.2690164743433123,1.708236399661002
2021,Q4,1.3725863846519877,0.05259425186142641,0.07952320232012533,0.8404064491866219,0.2809138617621023,0.00031868313591143504,-0.051707413871845076,0.01748421681803336,0.36242228966025203,0.20466982245247856,0.20422415895123902,0.20422415895123902,0.2964855286248185,0.2782541719391327,0.30359378998711195
2022,Q1,0.04431381304108584,0.019045684814004815,-0.18712617218958083,-0.013805539496015706,-0.12121403576663314,0.0021442992935349903,-6.4535072660145065,0.04619839991975416,-0.012278701903170264,-0.03658411081755164,0.07311413060122351,0.07311413060122351,0.1650801983375736,0.08405636703273212,0.13496482334488058
2022,Q2,0.01470078283718168,0.01847814513683943,-0.1832300260389671,0.05965949130716597,-0.07957190274054882,0.0,0.08465921717101899,0.034422140667781154,-0.47937600702087946,-0.20884346287144762,-0.19130104477737264,-0.19130104477737264,0.07356766268260184,0.04357895534592249,0.07890880582123594
2022,Q3,0.05776634701618777,0.04730498144150119,0.07865686778028125,0.013408919824636545,0.04659875942760938,0.0,0.09654038169616475,0.04740716538638301,-0.054029718181134445,0.2692167006368156,0.23688144463257954,0.23688144463257954,0.033338135132798596,0.04195564608597491,0.029522301074139
2022,Q4,-0.06031902840672443,-0.030764874044445722,-0.1567831664151127,0.11578549972982777,-0.027109595478014503,0.00019359291017928548,-0.06388701061500501,-0.03129335162585001,0.026143109390805996,-1.689567609568872,-1.7256516472628325,-1.7256516472628325,0.17955150474626858,0.06860579332275751,0.21072452603257608
2023,Q1,0.04820198467141812,0.04715424190109152,-0.001270939570785834,0.008043982290798057,0.003811492128085847,0.0031731886190624614,0.11494369002277605,0.053447770197559086,0.9848737172580784,-2.742978596519899,-2.6842278303892235,-2.6842278303892235,-0.17190802316905063,-0.07335765125775429,-0.19782726773038273
2023,Q2,0.08530855869805509,0.016732843540619102,0.28694207066857036,0.02615071510661693,0.14404844869434585,0.0,-0.007994966162436001,-0.0008828003580843014,-0.5078345272460968,-0.5385577196582498,-0.4899357905180374,-0.4899357905180374,0.12441679584936516,0.08085411181167834,0.1395095028369464
2023,Q3,0.028229470885119845,0.03946872992991368,0.08884916055645098,-0.019709790253455206,0.03549699823302599,0.0,0.0798293881716674,0.040097982166425794,0.3868301114535382,0.6410282666603733,0.5059814582768276,0.5059814582768276,-0.36003914812194393,-0.21879916973029645,-0.36128836700980504
2023,Q4,0.06272709283941746,-0.008843430810408837,0.04841045555680856,-0.3731839303705957,-0.14773896454092594,0.0,0.025847581566113886,0.013064821623856249,-0.1398029206074466,-0.5658960966573993,-0.6503671288544343,-0.6503671288544343,2.2519856027085274,1.414043396443268,2.429921868584939
2024,Q1,0.040523301138996715,0.07046697088155773,0.2352792412408924,-0.040792012548784506,0.1408120754971427,3.554216732881699e-05,0.11839817597720725,0.06113252088117038,0.8639512674288978,2.8459904013214983,3.699026954509721,3.699026954509721,-0.5393888093551786,-0.2913051879194458,-0.5898920874935576
2024,Q2,0.03830721463654618,0.03143173954586631,0.08298438417593346,-0.007204310310109041,0.057035990668758085,4.975726577938211e-05,0.06924157123098462,0.027779061311124176,0.04900954536445301,-0.029487579710929968,-0.014496864475729954,-0.014496864475729954,0.06603357236088891,-0.00817586885911259,0.08282549133540495
2024,Q3,0.04432678588050587,0.025023010256151057,-0.07186989271396726,-0.009457769417509088,-0.05500446183608887,0.00015738760139072383,0.039149754874932,0.03676464175829097,-0.009763746124017536,-0.5422188971192474,-0.5987654612409705,-0.5987654612409705,0.019230661431885343,-0.6152747122595905,0.046936623721298476
