연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,매출액,영업비용
2022,Q1,0.030310490772104348,-0.02753934349973053,-0.11605221701084878,0.0020778840340791582,-0.10154392033798187,0.004212905855701887,-0.09855442669439274,0.013410715654241123,-36.473264823754306,-9.538110678535613,-2.9223815490712735,-2.9223815490712735,-0.019744639833478406,-0.024580534397560472,-0.024485933259793646
2022,Q2,-0.024818684526856982,0.01036914701997338,0.035820898665888334,-0.14187336682016471,0.011480152338079641,0.0006812888236715775,-0.08977065582843957,0.009824113200390006,-0.38500775157607803,-0.17889674747717588,-0.17889674747717588,-0.17889674747717588,0.0015362422480587057,0.0036676851270778243,0.003576240182074253
2022,Q3,0.008048934002057972,0.015839432855884628,0.031782106376517794,-0.00222946180735073,0.027829521995783146,0.0011580642172288602,-0.09446979014377932,0.009947722967104555,0.1641903432132037,-0.04212379498562624,-0.04212379498562624,-0.04212379498562624,0.013262238778787738,0.014587017687811343,0.014547271587653787
2022,Q4,0.5380641690528982,0.0730467471567171,0.09507163457762147,-0.02684362658773909,0.08131785197698105,0.0024150151583408608,-0.282055798506059,0.06891051735036258,-0.9977383567480429,-0.5189924861455402,1.6223038185268828,1.6223038185268828,0.1851699538415985,0.17181942458776311,0.1725829570290245
2023,Q1,-0.011680846798368894,-0.01157315256780933,-0.07135890754908047,-0.011723852392712342,-0.06530417498028984,0.00678287838197611,-0.1809562007511577,0.01560865055122096,362.609536004045,1.983394808992923,-0.5251120525956161,-0.5251120525956161,-0.017545210345177975,-0.01879407341245065,-0.018818366772368145
2023,Q2,0.16109899570589303,0.048745151265032094,0.05188973975911937,0.005573378688767283,0.04691768638558336,0.001067734835142664,-0.1773720384001667,0.04959598775793039,0.20722502153668,-0.014152732594860051,-0.1971788332826463,-0.1971788332826463,0.08295859760366331,0.0791827224546402,0.07939896127470547
2023,Q3,0.19298312923816918,0.10619664460742095,0.35420453708644617,0.012049051918373577,0.31892473920070485,0.0005014026921592585,-0.2141932801067411,0.007406801793336637,0.18873445278589962,-0.1548327398122641,-0.0066000087056279355,-0.0066000087056279355,0.058766368840925676,0.15219519169914308,0.15234211983317536
2023,Q4,0.04260581017431875,-0.010418836359621042,-0.04068506736011657,-0.030273327479418022,-0.03986129457677057,0.001117770761121184,-0.2293999754678906,0.007482137044932502,-0.8089593913822111,-0.09124877439643486,-0.15840477266054132,-0.15840477266054132,1.9529131076245427,1.3983356624829324,1.4131654523534913
2024,Q1,-0.0158299479243712,0.0032991098525947393,-0.006518009212635678,-0.014607097349304099,-0.007164405808715912,0.001526473014209051,-0.46615144110930895,0.00936195996152911,4.156279695959381,0.39098959331814553,0.565895162899839,0.565895162899839,-0.5525387756294721,-0.7339873084724351,-0.7399483818888888
2024,Q2,-0.01324115441831164,0.02013267668412877,0.04272634157820776,-0.009172981188340534,0.03861017184031201,0.0006764928074896037,-0.7926541577031525,0.009601601699214202,-0.0465325553465884,0.08776286046031667,-0.09223217505978842,-0.09223217505978842,-0.09454819978680085,0.043101866521014776,0.05091387462170793
2024,Q3,-0.00624061209381821,-0.003808281254472079,-0.0023888686938902115,-0.011268050876452107,-0.00306068388627323,0.0004087366006666482,1.8884938330293384,-0.004246609959663861,-0.1687931539707308,-1.3688387087836937,-1.4940002404283268,-1.4940002404283268,-1.4934256165258328,0.01234383915612458,0.026666831529049473
